Cancer Site,Year,Tumour Type,Tumour Type 2,Tumour Type 3,Tumour Type 4,Tumour Type 5,Tumour Type 6,Tumour Type 7,Basis of Diagnosis,Stage,Stage Detail,Stage Detail 2,Age,Age Detail,Region,Gender,Grade,Nodal Status,Incidence,Population,Incidence Rate,Incidence Rate LCI,Incidence Rate UCI,Routes Population,Screening,Screening percentage,Screening percentage LCI,Screening percentage UCI,Two Week Wait,Two Week Wait percentage,Two Week Wait percentage LCI,Two Week Wait percentage UCI,GP Referral,GP Referral percentage,GP Referral percentage LCI,GP Referral percentage UCI,Other Outpatient,Other Outpatient percentage,Other Outpatient percentage LCI,Other Outpatient percentage UCI,Inpatient Elective,Inpatient Elective percentage,Inpatient Elective percentage LCI,Inpatient Elective percentage UCI,Emergency Presentation,Emergency Presentation percentage,Emergency Presentation percentage LCI,Emergency Presentation percentage UCI,DCO,DCO percentage,DCO percentage LCI,DCO percentage UCI,Unknown Route,Unknown Route percentage,Unknown Route percentage LCI,Unknown Route percentage UCI,Route not classified,Route not classified percentage,Route not classified percentage LCI,Route not classified percentage UCI,Treatment cohort,CT count,CT percentage,CT percentage LCI,CT percentage UCI,RT count,RT percentage,RT percentage LCI,RT percentage UCI,Surgery count,Surgery percentage,Surgery percentage LCI,Surgery percentage UCI,CT only count,CT only percentage,CT only percentage LCI,CT only percentage UCI,RT only count,RT only percentage,RT only percentage LCI,RT only percentage UCI,Surgery only count,Surgery only percentage,Surgery only percentage LCI,Surgery only percentage UCI,CT and RT count,CT and RT percentage,CT and RT percentage LCI,CT and RT percentage UCI,Surgery and CT count,Surgery and CT percentage,Surgery and CT percentage LCI,Surgery and CT percentage UCI,Surgery and RT count,Surgery and RT percentage,Surgery and RT percentage LCI,Surgery and RT percentage UCI,Surgery and CT and RT count,Surgery and CT and RT percentage,Surgery and CT and RT percentage LCI,Surgery and CT and RT percentage UCI,Other care count,Other care percentage,Other care percentage LCI,Other care percentage UCI,Initial cohort size,Survival cohort size,Net survival 03m,Net survival 03m LCI,Net survival 03m UCI,Kaplan-Meier survival 03m,Kaplan-Meier survival 03m LCI,Kaplan-Meier survival 03m UCI,Net survival 06m,Net survival 06m LCI,Net survival 06m UCI,Kaplan-Meier survival 06m,Kaplan-Meier survival 06m LCI,Kaplan-Meier survival 06m UCI,Net survival 09m,Net survival 09m LCI,Net survival 09m UCI,Kaplan-Meier survival 09m,Kaplan-Meier survival 09m LCI,Kaplan-Meier survival 09m UCI,Net survival 12m,Net survival 12m LCI,Net survival 12m UCI,Kaplan-Meier survival 12m,Kaplan-Meier survival 12m LCI,Kaplan-Meier survival 12m UCI,Net survival 24m,Net survival 24m LCI,Net survival 24m UCI,Kaplan-Meier survival 24m,Kaplan-Meier survival 24m LCI,Kaplan-Meier survival 24m UCI,Net survival 36m,Net survival 36m LCI,Net survival 36m UCI,Kaplan-Meier survival 36m,Kaplan-Meier survival 36m LCI,Kaplan-Meier survival 36m UCI,Net survival 48m,Net survival 48m LCI,Net survival 48m UCI,Kaplan-Meier survival 48m,Kaplan-Meier survival 48m LCI,Kaplan-Meier survival 48m UCI,Net survival 60m,Net survival 60m LCI,Net survival 60m UCI,Kaplan-Meier survival 60m,Kaplan-Meier survival 60m LCI,Kaplan-Meier survival 60m UCI,Net survival 72m,Net survival 72m LCI,Net survival 72m UCI,Kaplan-Meier survival 72m,Kaplan-Meier survival 72m LCI,Kaplan-Meier survival 72m UCI
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,Midlands and East of England,Persons,Not split by grade,Not split by nodal status,374,1269055,29.471,26.559,32.614,374,.c,.c,.c,.c,80,21.39,17.536,25.826,85,22.727,18.77,27.239,24,6.417,4.35,9.371,10,2.674,1.459,4.851,162,43.316,38.387,48.38,0,0,0,1.017,13,3.476,2.042,5.855,0,0,0,1.017,374,83,22.193,18.276,26.675,12,3.209,1.845,5.524,6,1.604,0.737,3.455,80,21.39,17.536,25.826,11,2.941,1.65,5.189,4,1.07,0.417,2.717,1,0.267,0.047,1.499,2,0.535,0.147,1.929,0,0,0,1.017,0,0,0,1.017,276,73.797,69.114,77.995,374,373,34,29.2,38.8,33.8,29,38.6,17.4,13.5,21.2,17.2,13.5,21.2,10.1,7,13.2,9.9,7.2,13.2,6.9,4.3,9.4,6.7,4.5,9.5,.g,.g,.g,2.1,1,4,.e,.e,.e,1.3,.5,2.9,.e,.e,.e,.8,.2,2.2,.e,.e,.e,.5,.1,1.8,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,Midlands and East of England,Female,Not split by grade,Not split by nodal status,174,669102,26.005,22.284,30.169,174,.c,.c,.c,.c,37,21.264,15.839,27.931,40,22.989,17.361,29.783,8,4.598,2.348,8.809,4,2.299,0.898,5.761,79,45.402,38.184,52.82,0,0,0,2.16,6,3.448,1.59,7.318,0,0,0,2.16,174,41,23.563,17.871,30.398,6,3.448,1.59,7.318,3,1.724,0.588,4.946,39,22.414,16.852,29.167,5,2.874,1.234,6.55,2,1.149,0.316,4.093,1,0.575,0.102,3.183,1,0.575,0.102,3.183,0,0,0,2.16,0,0,0,2.16,126,72.414,65.343,78.516,174,174,31.8,24.9,38.6,31.6,24.8,38.6,16.2,10.8,21.7,16.1,11.1,21.9,.g,.g,.g,9.8,5.9,14.7,.g,.g,.g,5.7,2.9,9.9,.e,.e,.e,2.3,.8,5.4,.e,.e,.e,.6,.1,2.9,.e,.e,.e,.6,.1,2.9,.e,.e,.e,.6,.1,2.9,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,Midlands and East of England,Male,Not split by grade,Not split by nodal status,200,599953,33.336,28.876,38.29,200,.c,.c,.c,.c,43,21.5,16.372,27.702,45,22.5,17.262,28.774,16,8,4.984,12.599,6,3,1.382,6.389,83,41.5,34.894,48.426,0,0,0,1.885,7,3.5,1.706,7.047,0,0,0,1.885,200,42,21,15.928,27.165,6,3,1.382,6.389,3,1.5,0.511,4.317,41,20.5,15.486,26.626,6,3,1.382,6.389,2,1,0.275,3.572,0,0,0,1.885,1,0.5,0.088,2.777,0,0,0,1.885,0,0,0,1.885,150,75,68.566,80.492,200,199,35.9,29.3,42.6,35.7,29.1,42.3,18.4,13,23.7,18.1,13.1,23.7,.g,.g,.g,10.1,6.4,14.7,.g,.g,.g,7.5,4.4,11.7,.e,.e,.e,2,.7,4.7,.e,.e,.e,2,.7,4.7,.e,.e,.e,1,.2,3.3,.e,.e,.e,.5,0,2.6,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,North of England,Persons,Not split by grade,Not split by nodal status,303,1165175,26.005,23.159,29.104,303,.c,.c,.c,.c,65,21.452,17.203,26.416,49,16.172,12.454,20.737,23,7.591,5.111,11.132,7,2.31,1.123,4.691,153,50.495,44.895,56.083,0,0,0,1.252,6,1.98,0.911,4.252,0,0,0,1.252,303,78,25.743,21.145,30.948,4,1.32,0.515,3.345,5,1.65,0.707,3.804,74,24.422,19.925,29.56,2,0.66,0.181,2.374,3,0.99,0.337,2.87,2,0.66,0.181,2.374,2,0.66,0.181,2.374,0,0,0,1.252,0,0,0,1.252,220,72.607,67.326,77.322,303,303,30.6,25.4,35.8,30.4,25.3,35.6,15.8,11.7,19.9,15.5,11.7,19.8,10.5,7,13.9,10.2,7.1,14,.g,.g,.g,6.3,3.9,9.4,.e,.e,.e,1.7,.6,3.6,.e,.e,.e,1.3,.4,3.2,.e,.e,.e,1,.3,2.7,.e,.e,.e,1,.3,2.7,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,North of England,Female,Not split by grade,Not split by nodal status,146,622415,23.457,19.806,27.586,146,.c,.c,.c,.c,34,23.288,17.17,30.775,22,15.068,10.166,21.762,11,7.534,4.259,12.987,3,2.055,0.701,5.867,75,51.37,43.332,59.338,0,0,0,2.564,1,0.685,0.121,3.777,0,0,0,2.564,146,44,30.137,23.282,38.011,4,2.74,1.07,6.832,1,0.685,0.121,3.777,41,28.082,21.427,35.862,2,1.37,0.376,4.857,0,0,0,2.564,2,1.37,0.376,4.857,1,0.685,0.121,3.777,0,0,0,2.564,0,0,0,2.564,100,68.493,60.566,75.472,146,146,34.5,26.9,42.1,34.2,26.7,41.9,18.1,11.9,24.3,17.8,12.1,24.4,.g,.g,.g,11.6,7.1,17.4,.g,.g,.g,6.2,3,10.9,.e,.e,.e,.7,.1,3.4,.e,.e,.e,.7,.1,3.4,.e,.e,.e,.7,.1,3.4,.e,.e,.e,.7,.1,3.4,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,North of England,Male,Not split by grade,Not split by nodal status,157,542760,28.926,24.578,33.822,157,.c,.c,.c,.c,31,19.745,14.274,26.662,27,17.197,12.097,23.865,12,7.643,4.426,12.884,4,2.548,0.995,6.367,78,49.682,41.962,57.416,0,0,0,2.388,5,3.185,1.368,7.238,0,0,0,2.388,157,34,21.656,15.931,28.735,0,0,0,2.388,4,2.548,0.995,6.367,33,21.019,15.377,28.046,0,0,0,2.388,3,1.911,0.652,5.467,0,0,0,2.388,1,0.637,0.113,3.519,0,0,0,2.388,0,0,0,2.388,120,76.433,69.212,82.391,157,157,27,20.1,33.9,26.8,20.1,33.8,13.6,8.3,18.9,13.4,8.6,19.2,.g,.g,.g,8.9,5.1,14,.g,.g,.g,6.4,3.3,10.9,.e,.e,.e,2.5,.8,6,.e,.e,.e,1.9,.5,5.1,.e,.e,.e,1.3,.3,4.1,.e,.e,.e,1.3,.3,4.1,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,South of England,Persons,Not split by grade,Not split by nodal status,380,1129848,33.633,30.336,37.19,380,.c,.c,.c,.c,93,24.474,20.421,29.038,84,22.105,18.224,26.545,30,7.895,5.586,11.046,8,2.105,1.071,4.099,151,39.737,34.943,44.736,0,0,0,1.001,13,3.421,2.01,5.764,1,0.263,0.046,1.475,379,98,25.858,21.707,30.492,16,4.222,2.615,6.747,8,2.111,1.073,4.109,84,22.164,18.273,26.613,6,1.583,0.728,3.41,3,0.792,0.27,2.301,9,2.375,1.254,4.451,4,1.055,0.411,2.682,0,0,0,1.003,1,0.264,0.047,1.479,272,71.768,67.035,76.064,379,375,41.3,36.4,46.3,41.1,36.1,46,23.2,19,27.5,22.9,18.8,27.3,13.9,10.4,17.4,13.6,10.4,17.3,8.5,5.7,11.3,8.3,5.8,11.3,.g,.g,.g,2.9,1.6,5,.e,.e,.e,.8,.2,2.2,.e,.e,.e,.3,0,1.4,.e,.e,.e,.3,0,1.4,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,South of England,Female,Not split by grade,Not split by nodal status,196,598113,32.77,28.342,37.693,196,.c,.c,.c,.c,48,24.49,18.998,30.962,42,21.429,16.262,27.693,12,6.122,3.537,10.395,3,1.531,0.522,4.403,86,43.878,37.114,50.876,0,0,0,1.922,4,2.041,0.796,5.129,1,0.51,0.09,2.833,195,48,24.615,19.098,31.113,8,4.103,2.093,7.885,6,3.077,1.418,6.549,39,20,14.99,26.169,3,1.538,0.525,4.425,1,0.513,0.091,2.847,4,2.051,0.801,5.155,4,2.051,0.801,5.155,0,0,0,1.932,1,0.513,0.091,2.847,143,73.333,66.72,79.046,195,193,42.7,35.8,49.7,42.5,35.5,49.3,22,16.2,27.8,21.8,16.2,27.8,.g,.g,.g,9.8,6.2,14.5,.g,.g,.g,6.2,3.4,10.2,.e,.e,.e,2.1,.7,4.9,.e,.e,.e,1,.2,3.4,.e,.e,.e,.5,0,2.7,.e,.e,.e,.5,0,2.7,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 70-79,Age 70-79,South of England,Male,Not split by grade,Not split by nodal status,184,531735,34.604,29.784,39.981,184,.c,.c,.c,.c,45,24.457,18.81,31.148,42,22.826,17.354,29.41,18,9.783,6.278,14.932,5,2.717,1.166,6.203,65,35.326,28.784,42.468,0,0,0,2.045,9,4.891,2.594,9.033,0,0,0,2.045,184,50,27.174,21.262,34.02,8,4.348,2.219,8.344,2,1.087,0.299,3.876,45,24.457,18.81,31.148,3,1.63,0.556,4.683,2,1.087,0.299,3.876,5,2.717,1.166,6.203,0,0,0,2.045,0,0,0,2.045,0,0,0,2.045,129,70.109,63.138,76.257,184,182,39.9,32.8,46.9,39.6,32.4,46.6,24.6,18.3,30.8,24.2,18.2,30.6,18,12.4,23.6,17.6,12.5,23.4,.g,.g,.g,10.4,6.5,15.4,.g,.g,.g,3.8,1.7,7.4,.e,.e,.e,.5,.1,2.8,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,All England,Persons,Not split by grade,Not split by nodal status,1004,2589877,38.766,36.405,41.24,1004,.c,.c,.c,.c,171,17.032,14.833,19.482,149,14.841,12.776,17.174,55,5.478,4.233,7.063,12,1.195,0.685,2.077,592,58.964,55.893,61.967,0,0,0,0.381,25,2.49,1.692,3.65,0,0,0,0.381,1004,51,5.08,3.884,6.617,13,1.295,0.758,2.203,2,0.199,0.055,0.723,46,4.582,3.452,6.057,9,0.896,0.472,1.695,1,0.1,0.018,0.562,4,0.398,0.155,1.02,1,0.1,0.018,0.562,0,0,0,0.381,0,0,0,0.381,943,93.924,92.273,95.241,1004,1001,21,18.5,23.6,20.5,18.1,23.1,9.1,7.3,11,8.7,7.1,10.6,5,3.6,6.4,4.7,3.5,6.1,3.1,2,4.2,2.8,1.9,4,.g,.g,.g,1.1,.6,1.9,.e,.e,.e,.7,.3,1.4,.e,.e,.e,.3,.1,.8,.e,.e,.e,.2,0,.7,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,London,Persons,Not split by grade,Not split by nodal status,106,271813,38.997,31.927,47.167,106,.c,.c,.c,.c,10,9.434,5.205,16.5,23,21.698,14.916,30.46,2,1.887,0.519,6.62,1,0.943,0.167,5.151,69,65.094,55.637,73.496,0,0,0,3.497,1,0.943,0.167,5.151,0,0,0,3.497,106,9,8.491,4.531,15.353,1,0.943,0.167,5.151,0,0,0,3.497,8,7.547,3.874,14.19,0,0,0,3.497,0,0,0,3.497,1,0.943,0.167,5.151,0,0,0,3.497,0,0,0,3.497,0,0,0,3.497,97,91.509,84.647,95.469,106,106,30.3,21.5,39,29.6,21.2,38.5,.g,.g,.g,13.4,7.7,20.6,.g,.g,.g,7.6,3.6,13.7,.e,.e,.e,4.8,1.8,10.1,.e,.e,.e,2.9,.8,7.5,.e,.e,.e,1.9,.4,6.1,.e,.e,.e,1,.1,4.7,.e,.e,.e,1,.1,4.7,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,Midlands and East of England,Persons,Not split by grade,Not split by nodal status,339,817927,41.446,37.151,46.102,339,.c,.c,.c,.c,61,17.994,14.271,22.435,46,13.569,10.33,17.625,19,5.605,3.617,8.587,1,0.295,0.052,1.652,205,60.472,55.178,65.531,0,0,0,1.12,7,2.065,1.004,4.2,0,0,0,1.12,339,17,5.015,3.154,7.883,2,0.59,0.162,2.125,2,0.59,0.162,2.125,16,4.72,2.926,7.528,2,0.59,0.162,2.125,1,0.295,0.052,1.652,0,0,0,1.12,1,0.295,0.052,1.652,0,0,0,1.12,0,0,0,1.12,319,94.1,91.064,96.149,339,338,21.3,16.9,25.7,20.8,16.6,25.3,10.4,7.1,13.6,9.8,6.9,13.3,.g,.g,.g,5,3.1,7.8,.g,.g,.g,3.3,1.7,5.6,.e,.e,.e,1.8,.7,3.7,.e,.e,.e,1.2,.4,2.8,.e,.e,.e,.6,.1,2,.e,.e,.e,.3,0,1.6,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,Midlands and East of England,Female,Not split by grade,Not split by nodal status,193,499883,38.609,33.354,44.457,193,.c,.c,.c,.c,42,21.762,16.522,28.103,20,10.363,6.809,15.464,9,4.663,2.472,8.624,1,0.518,0.092,2.876,116,60.104,53.063,66.75,0,0,0,1.952,5,2.591,1.112,5.92,0,0,0,1.952,193,10,5.181,2.838,9.274,0,0,0,1.952,1,0.518,0.092,2.876,10,5.181,2.838,9.274,0,0,0,1.952,1,0.518,0.092,2.876,0,0,0,1.952,0,0,0,1.952,0,0,0,1.952,0,0,0,1.952,182,94.301,90.084,96.788,193,192,24.7,18.5,30.8,24.1,18.3,30.4,12.7,8,17.5,12.1,7.9,17.1,.g,.g,.g,7.3,4.2,11.6,.g,.g,.g,4.2,2,7.7,.e,.e,.e,2.1,.7,4.9,.e,.e,.e,1.6,.4,4.2,.e,.e,.e,1,.2,3.4,.e,.e,.e,.5,0,2.7,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,Midlands and East of England,Male,Not split by grade,Not split by nodal status,146,318044,45.906,38.761,53.985,146,.c,.c,.c,.c,19,13.014,8.492,19.432,26,17.808,12.452,24.815,10,6.849,3.763,12.148,0,0,0,2.564,89,60.959,52.862,68.494,0,0,0,2.564,2,1.37,0.376,4.857,0,0,0,2.564,146,7,4.795,2.342,9.565,2,1.37,0.376,4.857,1,0.685,0.121,3.777,6,4.11,1.897,8.675,2,1.37,0.376,4.857,0,0,0,2.564,0,0,0,2.564,1,0.685,0.121,3.777,0,0,0,2.564,0,0,0,2.564,137,93.836,88.7,96.723,146,146,16.9,10.8,22.9,16.4,11,22.9,.g,.g,.g,6.8,3.5,11.7,.g,.g,.g,2.1,0.6,5.4,.e,.e,.e,2.1,0.6,5.4,.e,.e,.e,1.4,.3,4.4,.e,.e,.e,.7,.1,3.4,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,North of England,Persons,Not split by grade,Not split by nodal status,268,721749,37.132,32.819,41.854,268,.c,.c,.c,.c,39,14.552,10.831,19.275,39,14.552,10.831,19.275,12,4.478,2.58,7.662,3,1.119,0.381,3.239,170,63.433,57.515,68.971,0,0,0,1.413,5,1.866,0.799,4.292,0,0,0,1.413,268,12,4.478,2.58,7.662,2,0.746,0.205,2.68,0,0,0,1.413,11,4.104,2.307,7.199,1,0.373,0.066,2.083,0,0,0,1.413,1,0.373,0.066,2.083,0,0,0,1.413,0,0,0,1.413,0,0,0,1.413,255,95.149,91.879,97.144,268,266,18.5,13.8,23.1,18,13.7,22.9,.g,.g,.g,8.3,5.4,12,.g,.g,.g,4.1,2.2,7,.g,.g,.g,2.3,0.9,4.6,.e,.e,.e,.8,.2,2.5,.e,.e,.e,.4,0,2,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,North of England,Female,Not split by grade,Not split by nodal status,154,447753,34.394,29.176,40.276,154,.c,.c,.c,.c,20,12.987,8.567,19.209,17,11.039,7.007,16.967,8,5.195,2.655,9.915,3,1.948,0.665,5.57,102,66.234,58.45,73.227,0,0,0,2.434,4,2.597,1.015,6.488,0,0,0,2.434,154,3,1.948,0.665,5.57,0,0,0,2.434,0,0,0,2.434,3,1.948,0.665,5.57,0,0,0,2.434,0,0,0,2.434,0,0,0,2.434,0,0,0,2.434,0,0,0,2.434,0,0,0,2.434,151,98.052,94.43,99.335,154,152,14.2,8.7,19.6,13.8,8.9,19.8,.g,.g,.g,5.3,2.5,9.6,.e,.e,.e,2,0.5,5.2,.e,.e,.e,1.3,0.3,4.3,.e,.e,.e,.7,.1,3.3,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,North of England,Male,Not split by grade,Not split by nodal status,114,273996,41.606,34.32,49.982,114,.c,.c,.c,.c,19,16.667,10.937,24.569,22,19.298,13.104,27.494,4,3.509,1.373,8.676,0,0,0,3.26,68,59.649,50.471,68.198,0,0,0,3.26,1,0.877,0.155,4.802,0,0,0,3.26,114,9,7.895,4.209,14.326,2,1.754,0.482,6.172,0,0,0,3.26,8,7.018,3.599,13.239,1,0.877,0.155,4.802,0,0,0,3.26,1,0.877,0.155,4.802,0,0,0,3.26,0,0,0,3.26,0,0,0,3.26,104,91.228,84.603,95.165,114,114,24.2,16.3,32,23.7,16.4,31.8,.g,.g,.g,12.3,7.1,19,.g,.g,.g,7,3.3,12.7,.e,.e,.e,3.5,1.2,8.1,.e,.e,.e,.9,.1,4.3,.e,.e,.e,.9,.1,4.3,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,South of England,Persons,Not split by grade,Not split by nodal status,291,778388,37.385,33.212,41.937,291,.c,.c,.c,.c,61,20.962,16.679,26.002,41,14.089,10.559,18.556,22,7.56,5.045,11.181,7,2.405,1.17,4.881,148,50.859,45.142,56.554,0,0,0,1.303,12,4.124,2.374,7.068,0,0,0,1.303,291,13,4.467,2.629,7.492,8,2.749,1.399,5.33,0,0,0,1.303,11,3.78,2.124,6.641,6,2.062,0.948,4.425,0,0,0,1.303,2,0.687,0.189,2.471,0,0,0,1.303,0,0,0,1.303,0,0,0,1.303,272,93.471,90.028,95.781,291,291,19.7,15.1,24.3,19.2,14.9,24,.g,.g,.g,6.2,3.8,9.4,.g,.g,.g,3.8,2,6.4,.g,.g,.g,2.1,0.9,4.2,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,South of England,Female,Not split by grade,Not split by nodal status,157,477081,32.908,27.962,38.478,157,.c,.c,.c,.c,30,19.108,13.726,25.967,23,14.65,9.964,21.024,15,9.554,5.876,15.165,5,3.185,1.368,7.238,74,47.134,39.487,54.917,0,0,0,2.388,10,6.369,3.496,11.327,0,0,0,2.388,157,7,4.459,2.176,8.916,5,3.185,1.368,7.238,0,0,0,2.388,5,3.185,1.368,7.238,3,1.911,0.652,5.467,0,0,0,2.388,2,1.274,0.35,4.525,0,0,0,2.388,0,0,0,2.388,0,0,0,2.388,147,93.631,88.673,96.504,157,157,19.4,13.3,25.6,19.1,13.4,25.6,.g,.g,.g,7.6,4.2,12.5,.g,.g,.g,4.5,2,8.5,.e,.e,.e,1.9,0.5,5.1,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Age 80+,Age 80+,South of England,Male,Not split by grade,Not split by nodal status,134,301307,44.473,37.262,52.672,134,.c,.c,.c,.c,31,23.134,16.804,30.962,18,13.433,8.669,20.235,7,5.224,2.553,10.39,2,1.493,0.41,5.278,74,55.224,46.776,63.381,0,0,0,2.787,2,1.493,0.41,5.278,0,0,0,2.787,134,6,4.478,2.068,9.424,3,2.239,0.764,6.375,0,0,0,2.787,6,4.478,2.068,9.424,3,2.239,0.764,6.375,0,0,0,2.787,0,0,0,2.787,0,0,0,2.787,0,0,0,2.787,0,0,0,2.787,125,93.284,87.728,96.427,134,134,20,13.2,26.7,19.4,13.2,26.5,.g,.g,.g,4.5,1.8,8.9,.e,.e,.e,3,1,6.9,.e,.e,.e,2.2,0.6,5.9,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.a,.a,.a,.a,.a,.a
Pancreas,2014,Carcinoma and Other,All,All,All,All,All,All,Not split by Basis of Diagnosis,Stage unknown,Not split by Stage Detail,Not split by Stage Detail 2,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,2501,54316618,4.604,4.426,4.789,2501,.c,.c,.c,.c,339,13.555,12.269,14.952,528,21.112,19.557,22.755,202,8.077,7.072,9.21,58,2.319,1.798,2.986,1238,49.5,47.543,51.459,33,1.319,0.941,1.847,82,3.279,2.649,4.051,21,0.84,0.55,1.28,2481,438,17.654,16.204,19.204,111,4.474,3.728,5.36,90,3.628,2.961,4.438,318,12.817,11.559,14.191,30,1.209,0.848,1.721,49,1.975,1.497,2.601,79,3.184,2.562,3.951,39,1.572,1.152,2.142,0,0,0,0.155,2,0.081,0.022,0.293,1964,79.162,77.519,80.714,2481,2296,49.5,47.5,51.6,48.9,46.9,50.9,35.3,33.3,37.2,34.5,32.5,36.4,26.7,24.9,28.6,25.9,24.1,27.7,20.3,18.6,22,19.5,17.9,21.1,8.7,7.5,10,8.1,7,9.2,5.7,4.7,6.7,5,4.2,6,4.1,3.2,5,3.6,2.9,4.4,3.4,2.5,4.3,2.9,2.2,3.6,.a,.a,.a,.a,.a,.a
